team,rating,talent_prior,form,talent,sp_rating,sp_offense.rating,sp_defense.rating,ret_totalPPA,ret_percentPPA,conference,division,rank
Indiana,23.57,3.61,25.46,735.26,25.8,37.8,12.5,97.9,0.166,Big Ten,fbs,1
Ohio State,22.93,17.09,11.34,964.27,32.7,41.0,8.4,355.9,0.683,Big Ten,fbs,2
Notre Dame,21.81,16.43,10.88,953.03,26.5,40.6,14.3,175.6,0.512,FBS Independents,fbs,3
Georgia,21.79,19.41,7.88,1003.67,26.4,38.7,12.9,248.1,0.687,SEC,fbs,4
Miami,21.39,12.48,14.41,885.94,22.0,35.0,13.3,167.9,0.369,ACC,fbs,5
Texas Tech,20.98,5.53,20.95,767.89,21.8,36.6,15.0,231.6,0.534,Big 12,fbs,6
Texas A&M,20.49,15.25,10.73,933.0,20.9,37.6,16.4,266.6,0.728,SEC,fbs,7
Texas,19.01,18.32,6.18,985.17,22.8,37.3,14.9,187.5,0.721,SEC,fbs,8
Alabama,18.87,17.64,6.73,973.53,17.6,31.0,13.0,120.2,0.264,SEC,fbs,9
Oregon,17.33,18.28,4.56,984.33,29.2,41.1,12.2,373.3,0.753,Big Ten,fbs,10
Utah,17.22,1.28,21.44,695.72,9.8,31.9,22.1,278.5,0.679,Big 12,fbs,11
Oklahoma,16.88,10.43,11.95,851.14,18.8,32.1,13.7,181.3,0.632,SEC,fbs,12
Ole Miss,16.66,12.47,9.69,885.72,16.5,35.2,19.4,279.4,0.503,SEC,fbs,13
Tennessee,15.44,12.48,8.46,885.9,17.3,39.3,22.4,186.2,0.353,SEC,fbs,14
LSU,14.59,15.18,4.91,931.76,20.4,32.6,12.4,42.9,0.212,SEC,fbs,15
Vanderbilt,14.16,3.15,16.52,727.39,9.8,33.3,24.2,203.3,0.354,SEC,fbs,16
Missouri,13.52,7.91,11.11,808.36,15.4,32.3,16.4,132.8,0.42,SEC,fbs,17
Penn State,12.59,5.89,12.2,774.04,16.2,33.9,18.3,21.5,0.076,Big Ten,fbs,18
USC,12.11,13.25,4.36,899.0,17.7,38.0,19.9,305.5,0.592,Big Ten,fbs,19
Iowa,11.19,2.87,13.82,722.73,14.6,30.8,16.8,80.4,0.342,Big Ten,fbs,20
South Carolina,10.93,11.12,5.3,862.87,12.6,30.2,18.1,148.3,0.69,SEC,fbs,21
Florida,10.42,12.78,3.13,891.07,15.2,30.4,15.8,143.0,0.691,SEC,fbs,22
South Florida,9.79,1.76,13.53,703.81,-1.7,28.1,29.6,55.0,0.126,American Athletic,fbs,23
BYU,9.78,0.91,14.37,689.42,14.9,32.9,18.3,284.3,0.785,Big 12,fbs,24
Arizona,9.64,1.51,13.63,699.59,9.5,31.1,21.2,202.4,0.649,Big 12,fbs,25
Kansas State,9.51,2.63,12.38,718.67,9.2,32.5,23.6,167.8,0.714,Big 12,fbs,26
Washington,9.38,6.1,8.78,777.63,15.8,33.0,17.0,228.1,0.544,Big Ten,fbs,27
SMU,8.5,5.33,8.67,764.5,12.1,32.5,20.1,219.8,0.569,ACC,fbs,28
Auburn,8.2,9.08,4.62,828.19,11.5,28.5,17.3,35.8,0.144,SEC,fbs,29
Pittsburgh,7.83,0.06,13.26,675.02,6.2,30.0,23.9,149.9,0.397,ACC,fbs,30
Mississippi State,7.56,7.69,5.38,804.53,4.8,30.8,26.5,109.5,0.339,SEC,fbs,31
Virginia,7.23,1.54,11.18,700.18,8.1,26.9,18.9,34.9,0.095,ACC,fbs,32
Kentucky,7.2,6.64,6.06,786.65,5.2,26.3,21.1,43.8,0.193,SEC,fbs,33
Arizona State,7.13,2.83,9.8,722.0,4.9,27.4,22.0,37.6,0.155,Big 12,fbs,34
James Madison,6.76,-5.04,17.3,588.31,-0.9,26.7,27.2,31.0,0.08,Sun Belt,fbs,35
Michigan,6.36,12.72,-0.86,890.02,17.0,33.2,15.8,212.5,0.692,Big Ten,fbs,36
UTSA,5.16,-1.07,11.73,655.82,-1.1,29.9,31.1,234.1,0.669,American Athletic,fbs,37
UConn,5.13,-1.26,11.89,652.56,-11.9,19.9,32.4,11.4,0.023,FBS Independents,fbs,38
Louisville,5.01,3.89,6.63,739.97,11.1,30.7,19.8,92.3,0.348,ACC,fbs,39
Florida State,4.73,7.43,2.8,800.2,9.1,29.8,20.4,162.9,0.401,ACC,fbs,40
Kansas,4.62,0.62,9.5,684.51,3.3,28.8,26.1,59.5,0.181,Big 12,fbs,41
Iowa State,4.51,-0.26,10.27,669.55,-0.4,22.4,23.2,4.7,0.017,Big 12,fbs,42
Clemson,4.27,11.12,-1.35,862.85,13.1,29.8,17.1,124.3,0.414,ACC,fbs,43
Duke,4.26,-0.32,10.09,668.47,5.6,32.8,27.6,75.6,0.171,ACC,fbs,44
Boise State,4.14,-1.93,11.57,641.17,5.1,29.0,23.7,234.2,0.663,Mountain West,fbs,45
North Texas,4.01,-4.23,13.74,602.08,-11.6,23.7,35.0,13.8,0.025,American Athletic,fbs,46
Minnesota,3.42,3.23,5.69,728.79,6.2,25.7,19.0,113.5,0.649,Big Ten,fbs,47
Northwestern,3.32,0.85,7.98,688.32,5.1,25.3,20.7,198.2,0.885,Big Ten,fbs,48
Old Dominion,3.17,-7.64,16.31,544.25,-6.9,19.6,25.8,32.8,0.092,Sun Belt,fbs,49
Nebraska,3.11,6.68,1.93,787.45,9.3,30.0,20.7,146.2,0.463,Big Ten,fbs,50
Arkansas,2.85,4.21,4.14,745.48,5.6,34.4,29.0,65.7,0.145,SEC,fbs,51
Memphis,2.16,-0.22,7.88,670.31,0.3,29.0,29.2,20.7,0.056,American Athletic,fbs,52
Illinois,2.11,1.77,5.85,704.01,10.4,32.0,22.1,83.5,0.211,Big Ten,fbs,53
UCF,2.05,-0.11,7.66,672.14,1.7,24.2,22.3,62.3,0.248,Big 12,fbs,54
Wake Forest,1.96,0.41,7.05,680.87,3.4,24.2,20.7,44.1,0.142,ACC,fbs,55
Georgia Tech,1.23,4.57,2.15,751.65,5.9,28.7,23.4,47.7,0.126,ACC,fbs,56
Southern Miss,1.17,-4.2,10.87,602.63,-20.7,17.8,38.0,289.4,0.902,Sun Belt,fbs,57
Kennesaw State,1.11,-10.08,16.68,502.86,-12.9,19.5,31.8,23.1,0.061,Conference USA,fbs,58
Virginia Tech,1.04,5.6,0.94,769.12,8.6,30.7,21.9,94.3,0.367,ACC,fbs,59
Tulane,0.85,-0.52,6.87,665.11,-4.3,22.8,27.7,72.5,0.21,American Athletic,fbs,60
UNLV,0.85,1.3,5.05,696.03,3.6,31.4,28.0,66.1,0.154,Mountain West,fbs,60
TCU,0.82,3.35,2.97,730.79,9.4,31.4,21.8,94.3,0.224,Big 12,fbs,62
Houston,0.77,1.29,4.98,695.93,7.4,30.9,23.1,242.7,0.812,Big 12,fbs,63
San Diego State,0.58,-3.81,9.9,609.22,0.7,24.1,24.0,182.6,0.987,Mountain West,fbs,64
Washington State,0.55,-2.57,8.62,630.29,-4.3,20.4,24.6,228.3,0.913,Pac-12,fbs,65
New Mexico,0.36,-6.23,12.09,568.19,0.0,25.6,26.1,174.1,0.582,Mountain West,fbs,66
NC State,0.29,4.9,0.89,757.14,5.7,31.0,24.9,233.7,0.599,ACC,fbs,67
Toledo,0.11,-6.93,12.55,556.26,-9.1,17.9,26.6,224.9,0.663,Mid-American,fbs,68
Wisconsin,-0.1,5.52,-0.12,767.68,3.8,21.6,17.5,29.8,0.31,Big Ten,fbs,69
UCLA,-0.17,5.92,-0.59,774.45,5.4,29.1,23.7,108.3,0.57,Big Ten,fbs,70
Maryland,-0.31,2.69,2.5,719.64,5.2,26.8,22.0,112.3,0.54,Big Ten,fbs,71
Michigan State,-0.38,0.65,4.47,685.02,2.2,27.7,25.1,52.9,0.209,Big Ten,fbs,72
Louisiana Tech,-0.43,-7.71,12.78,543.02,-9.1,21.9,31.0,138.6,0.639,Conference USA,fbs,73
